[2026-04-22 13:43:53] Trap watcher started | watching: C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys
[2026-04-22 13:44:03] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\employee_notes.txt
[2026-04-22 13:44:03] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\salaries_2025.csv
[2026-04-22 13:44:03] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\passwords.txt
[2026-04-22 13:44:03] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\vpn_config.cfg
[2026-04-22 13:44:03] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\q4_budget.csv
[2026-04-22 13:44:03] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\workstation_todo.txt
[2026-04-22 13:44:03] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\app_config.cfg
[2026-04-22 13:44:03] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\db_connection.txt
[2026-04-22 13:44:03] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\confidential_chirps.csv
[2026-04-22 13:44:03] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\deleted_chirps.csv
[2026-04-22 13:44:03] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\access_logs.txt
[2026-04-22 13:44:03] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\event_logs.txt
[2026-04-22 13:44:08] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\employee_notes.txt
[2026-04-22 13:44:08] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\salaries_2025.csv
[2026-04-22 13:44:08] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\passwords.txt
[2026-04-22 13:44:08] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\vpn_config.cfg
[2026-04-22 13:44:08] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\q4_budget.csv
[2026-04-22 13:44:08] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\workstation_todo.txt
[2026-04-22 13:44:08] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\app_config.cfg
[2026-04-22 13:44:08] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\db_connection.txt
[2026-04-22 13:44:08] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\confidential_chirps.csv
[2026-04-22 13:44:08] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\deleted_chirps.csv
[2026-04-22 13:44:08] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\access_logs.txt
[2026-04-22 13:44:08] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\event_logs.txt
[2026-04-22 13:44:13] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\employee_notes.txt
[2026-04-22 13:44:13] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\salaries_2025.csv
[2026-04-22 13:44:13] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\passwords.txt
[2026-04-22 13:44:13] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\vpn_config.cfg
[2026-04-22 13:44:13] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\q4_budget.csv
[2026-04-22 13:44:13] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\workstation_todo.txt
[2026-04-22 13:44:13] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\app_config.cfg
[2026-04-22 13:44:13] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\db_connection.txt
[2026-04-22 13:44:13] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\confidential_chirps.csv
[2026-04-22 13:44:13] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\deleted_chirps.csv
[2026-04-22 13:44:13] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\access_logs.txt
[2026-04-22 13:44:13] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\event_logs.txt
[2026-04-22 13:44:18] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\employee_notes.txt
[2026-04-22 13:44:18] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\salaries_2025.csv
[2026-04-22 13:44:18] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\passwords.txt
[2026-04-22 13:44:18] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\vpn_config.cfg
[2026-04-22 13:44:18] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\q4_budget.csv
[2026-04-22 13:44:18] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\workstation_todo.txt
[2026-04-22 13:44:18] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\app_config.cfg
[2026-04-22 13:44:18] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\db_connection.txt
[2026-04-22 13:44:18] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\confidential_chirps.csv
[2026-04-22 13:44:18] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\deleted_chirps.csv
[2026-04-22 13:44:18] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\access_logs.txt
[2026-04-22 13:44:18] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\event_logs.txt
[2026-04-22 13:44:23] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\employee_notes.txt
[2026-04-22 13:44:23] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\salaries_2025.csv
[2026-04-22 13:44:23] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\passwords.txt
[2026-04-22 13:44:23] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\vpn_config.cfg
[2026-04-22 13:44:23] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\q4_budget.csv
[2026-04-22 13:44:23] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\workstation_todo.txt
[2026-04-22 13:44:23] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\app_config.cfg
[2026-04-22 13:44:23] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\db_connection.txt
[2026-04-22 13:44:23] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\confidential_chirps.csv
[2026-04-22 13:44:23] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\deleted_chirps.csv
[2026-04-22 13:44:23] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\access_logs.txt
[2026-04-22 13:44:23] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\event_logs.txt
[2026-04-22 13:44:28] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\employee_notes.txt
[2026-04-22 13:44:28] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\salaries_2025.csv
[2026-04-22 13:44:28] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\passwords.txt
[2026-04-22 13:44:28] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\vpn_config.cfg
[2026-04-22 13:44:28] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\q4_budget.csv
[2026-04-22 13:44:28] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\workstation_todo.txt
[2026-04-22 13:44:28] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\app_config.cfg
[2026-04-22 13:44:28] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\db_connection.txt
[2026-04-22 13:44:28] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\confidential_chirps.csv
[2026-04-22 13:44:28] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\deleted_chirps.csv
[2026-04-22 13:44:28] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\access_logs.txt
[2026-04-22 13:44:28] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\event_logs.txt
[2026-04-22 13:44:33] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\employee_notes.txt
[2026-04-22 13:44:33] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\salaries_2025.csv
[2026-04-22 13:44:33] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\passwords.txt
[2026-04-22 13:44:33] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\vpn_config.cfg
[2026-04-22 13:44:33] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\q4_budget.csv
[2026-04-22 13:44:33] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\workstation_todo.txt
[2026-04-22 13:44:33] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\app_config.cfg
[2026-04-22 13:44:33] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\db_connection.txt
[2026-04-22 13:44:33] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\confidential_chirps.csv
[2026-04-22 13:44:33] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\deleted_chirps.csv
[2026-04-22 13:44:33] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\access_logs.txt
[2026-04-22 13:44:33] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\event_logs.txt
[2026-04-22 13:44:38] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\employee_notes.txt
[2026-04-22 13:44:38] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\salaries_2025.csv
[2026-04-22 13:44:38] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\passwords.txt
[2026-04-22 13:44:38] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\vpn_config.cfg
[2026-04-22 13:44:38] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\q4_budget.csv
[2026-04-22 13:44:38] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\workstation_todo.txt
[2026-04-22 13:44:38] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\app_config.cfg
[2026-04-22 13:44:38] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\db_connection.txt
[2026-04-22 13:44:38] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\confidential_chirps.csv
[2026-04-22 13:44:38] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\deleted_chirps.csv
[2026-04-22 13:44:38] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\access_logs.txt
[2026-04-22 13:44:38] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\event_logs.txt
[2026-04-22 13:44:43] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\employee_notes.txt
[2026-04-22 13:44:43] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\salaries_2025.csv
[2026-04-22 13:44:43] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\passwords.txt
[2026-04-22 13:44:43] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\vpn_config.cfg
[2026-04-22 13:44:43] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\q4_budget.csv
[2026-04-22 13:44:43] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\workstation_todo.txt
[2026-04-22 13:44:43] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\app_config.cfg
[2026-04-22 13:44:43] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\db_connection.txt
[2026-04-22 13:44:43] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\confidential_chirps.csv
[2026-04-22 13:44:43] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\deleted_chirps.csv
[2026-04-22 13:44:43] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\access_logs.txt
[2026-04-22 13:44:43] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\event_logs.txt
[2026-04-22 13:44:48] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\employee_notes.txt
[2026-04-22 13:44:48] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\salaries_2025.csv
[2026-04-22 13:44:48] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\passwords.txt
[2026-04-22 13:44:48] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\vpn_config.cfg
[2026-04-22 13:44:48] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\q4_budget.csv
[2026-04-22 13:44:48] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\workstation_todo.txt
[2026-04-22 13:44:48] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\app_config.cfg
[2026-04-22 13:44:48] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\db_connection.txt
[2026-04-22 13:44:48] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\confidential_chirps.csv
[2026-04-22 13:44:48] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\deleted_chirps.csv
[2026-04-22 13:44:48] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\access_logs.txt
[2026-04-22 13:44:48] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\event_logs.txt
[2026-04-22 13:44:53] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\employee_notes.txt
[2026-04-22 13:44:53] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\salaries_2025.csv
[2026-04-22 13:44:53] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\passwords.txt
[2026-04-22 13:44:53] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\vpn_config.cfg
[2026-04-22 13:44:53] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\q4_budget.csv
[2026-04-22 13:44:53] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\workstation_todo.txt
[2026-04-22 13:44:53] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\app_config.cfg
[2026-04-22 13:44:53] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\db_connection.txt
[2026-04-22 13:44:53] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\confidential_chirps.csv
[2026-04-22 13:44:53] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\deleted_chirps.csv
[2026-04-22 13:44:53] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\access_logs.txt
[2026-04-22 13:44:53] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\event_logs.txt
[2026-04-22 13:44:58] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\employee_notes.txt
[2026-04-22 13:44:58] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\HR\salaries_2025.csv
[2026-04-22 13:44:58] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\passwords.txt
[2026-04-22 13:44:58] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\IT\vpn_config.cfg
[2026-04-22 13:44:58] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\q4_budget.csv
[2026-04-22 13:44:58] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\workstation\Projects\workstation_todo.txt
[2026-04-22 13:44:58] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\app_config.cfg
[2026-04-22 13:44:58] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\config\db_connection.txt
[2026-04-22 13:44:58] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\confidential_chirps.csv
[2026-04-22 13:44:58] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\data\deleted_chirps.csv
[2026-04-22 13:44:58] FILE OPENED / READ | C:\Users\andyr\PycharmProjects\week-13-traps-and-decoys-andrew-hamilton-1\docs\decoys\server\logs\access_logs.txt
